year,month,ph,o2,no3,po4,si,fe,spco2,to,so
2014,11,8.088839,228.65768,0.41709965,0.06491241,4.019742,0.0013242937,34.275314,18.21344,34.42659
2014,12,8.103576,235.90135,1.060673,0.1189259,4.320876,0.0013112617,32.995815,16.348911,34.64521
2015,1,8.109558,242.60785,1.7886804,0.17355384,4.7659025,0.0013116271,32.503593,14.54531,34.707043
2015,2,8.111772,252.43979,2.595222,0.23603517,5.020165,0.0012452465,32.275345,12.9792385,34.692112
2015,3,8.112751,262.87814,2.2109945,0.21249707,4.582019,0.0011952581,32.06679,12.307465,34.668854
2015,4,8.104109,264.34592,1.0308311,0.123930134,3.8476887,0.0011861165,32.687775,13.957472,34.419533
2015,5,8.0730915,252.86496,0.39248672,0.06552615,3.6782856,0.0012572367,35.551067,17.045862,34.057274
2015,6,8.036079,233.56596,0.23614249,0.04307336,3.9019291,0.001345,39.291504,20.640497,34.11831
2015,7,8.015537,220.69342,0.22016373,0.031476505,4.12763,0.0014895882,41.550243,23.447271,34.019737
2015,8,8.012684,213.76477,0.1546599,0.023134977,4.1154685,0.0015432051,41.90781,24.63136,34.150482
2015,9,8.025507,213.15163,0.10669258,0.01957511,4.055583,0.0015141733,40.507687,24.029844,34.38583
2015,10,8.062946,220.39027,0.09373746,0.028625272,3.9182372,0.0013566758,36.681988,20.902517,34.50977
2015,11,8.085401,227.39339,0.31509978,0.050551914,3.9017243,0.0013180218,34.590057,18.751514,34.609886
2015,12,8.097872,233.42334,0.68098104,0.08371166,3.8698642,0.0013013096,33.43467,16.953325,34.708416
